Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Orangutan_ID,First_Urine_Day,Dirt_Fecal,CAMP/LAB_specgravitymeter,Site,Species,Age_Class,Creatinine_Result,CV,Status
327,5383,08-Dec-12,Alysse,5:59:00 AM,Desy,TRUE,TRUE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
328,5388,13-Dec-12,Alysse,1:32:00 PM,Preman,FALSE,FALSE,,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.479,2.0,ok
329,5392,18-Dec-12,Alysse,12:14:00 PM,Ekko,FALSE,TRUE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult unflanged male,,,
330,5400,30-Dec-12,Idun,7:16:00 AM,Jinak,FALSE,TRUE,1.006,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
331,5401,31-Dec-12,Idun,7:51:00 PM,Jinak,FALSE,FALSE,1.001,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.102,3.0,ok
332,5406,15-Jan-13,Alysse,5:36:00 AM,Wodan,FALSE,FALSE,1.020,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.488,4.4,ok
333,5410,22-Jan-13,Idun,9:58:00 PM,Mawas,FALSE,TRUE,1.016,Tuanan,Pongo pygmaeus wurmbii,dependent immature non-clinging infant (4yrs-weaned),,,
334,5414,22-Jan-13,Idun,8:19:00 AM,MindyMawas,FALSE,TRUE,1.008,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
335,5419,31-Jan-13,Idun,10:03:00 AM,Tomi,FALSE,FALSE,1.010,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.326,1.8,ok
336,5417,31-Jan-13,Idun,5:32:00 AM,Jinak,TRUE,TRUE,1.080,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
337,5430,11-Feb-13,Alysse,9:46:00 AM,Niko,FALSE,TRUE,1.043,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,
338,5432,13-Feb-13,Alysse,5:16:00 AM,Kondor,TRUE,FALSE,1.036,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.401,2.3,ok
339,5435,14-Feb-13,Alysse,11:21:00 AM,Mindy,FALSE,TRUE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
340,5442,21-Feb-13,Alysse,7:21:00 AM,Juni,FALSE,FALSE,1.020,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
341,5442,21-Feb-13,Idun,10:11:00 AM,Juni,FALSE,FALSE,1.043,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.192,3.3,ok
342,5444,22-Feb-13,Alysse,9:26:00 AM,Juni,FALSE,FALSE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
343,5444,22-Feb-13,Alysse,10:38:00 AM,Juni,FALSE,TRUE,1.012,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
344,5460,12-Mar-13,Idun,5:24:00 AM,Jinak,TRUE,FALSE,1.040,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.239,2.6,ok
345,5459,12-Mar-13,Alysse,6:16:00 AM,Ekko,FALSE,TRUE,1.007,Tuanan,Pongo pygmaeus wurmbii,adult unflanged male,,,
346,5464,14-Mar-13,Idun,5:29:00 AM,Jinak,TRUE,TRUE,1.042,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.836,8.1,ok
347,5467,15-Mar-13,Alysse,5:32:00 AM,Kerry,TRUE,FALSE,1.042,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.755,2.5,ok
348,,16-Mar-13,Alysse,5:22:00 AM,Kerry,TRUE,FALSE,1.030,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.348,0.6,ok
349,5472,19-Mar-13,Alysse,4:57:00 AM,Milo,TRUE,FALSE,1.002,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.601,1.0,ok
350,5481,27-Mar-13,Alysse,1:39:00 PM,Kerry,FALSE,FALSE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.470,1.4,ok
NM 60,,10-Mar-15,Liz Ballare,9:05:00 AM,Chicki (NM),FALSE,FALSE,,Nyaru menteng,Pongo pygmaeus wurmbii,adult female no dependent,,,
NM 61,,10-Mar-15,Liz Ballare,9:45:00 AM,Rudolf,FALSE,FALSE,,Nyaru menteng,Pongo pygmaeus wurmbii,adult unflanged male,,,
NM 62,,10-Mar-15,Liz Ballare,9:47:00 AM,Cici (NM),FALSE,FALSE,,Nyaru menteng,Pongo pygmaeus wurmbii,adult female no dependent,,,
NM 63,,11-Mar-15,Liz Ballare,8:58:00 AM,Bobo (NM),FALSE,FALSE,,Nyaru menteng,Pongo pygmaeus wurmbii,adult flanged male,,,
