SampleNumber,Dummy_sampleNumber,FollowNumber,Date_Collected,Orangutan_ID,Orangutan_ID#,Time_Collected,First_Urine_Day,Site,Age_Class,AgeClassCond,Analysis_Date,Creatinine_Result,CV,SGmeter,Sex,Habitat_Wide,HI_Low_FAI_Quartiles,SG1,CrSG1,Sg12,,,RES_1,,
591,726,6253,22-May-14,Dayak,4,5:10:00 AM,1,Tuanan,adult flanged male,adult flanged male,20-May-15,0.66900000000,1.7000000000,1.029,Male,2.699460108,Low,0.029,23.068965520000000,0.000841000000001,,,-0.13211,,
1470,801,9026,9-Jul-17,Dayak,4,5:50:00 AM,1,Tuanan,adult flanged male,adult flanged male,8-Apr-20,0.45700000000,0.9000000000,1.032,Male,3.214731586,Low,0.032,14.281250000000000,0.001024000000000,,,-0.40450,,
793,851,6842,15-Feb-15,Dayak,4,5:18:00 AM,1,Tuanan,adult flanged male,adult flanged male,4-Feb-17,1.12500000000,3.0000000000,1.033,Male,4.366000000,High,0.033,34.090909090000000,0.001089000000001,,,0.24430,,
852,862,7034,6-May-15,Dayak,4,4:25:00 AM,1,Tuanan,adult flanged male,adult flanged male,4-Sep-19,0.70000000000,1.4000000000,1.034,Male,1.951000000,Low,0.034,20.588235290000000,0.001156000000001,,,-0.19943,,
792,958,6841,14-Feb-15,Dayak,4,5:42:00 AM,1,Tuanan,adult flanged male,adult flanged male,4-Feb-17,0.99100000000,0.4000000000,1.038,Male,4.366000000,High,0.038,26.078947370000000,0.001444000000000,,,0.02135,,
627,960,6327,25-Jun-14,Dayak,4,5:40:00 AM,1,Tuanan,adult flanged male,adult flanged male,20-May-15,1.04500000000,1.7000000000,1.038,Male,3.126879134,Low,0.038,27.500000000000000,0.001444000000000,,,0.07535,,
798,1075,6850,18-Feb-15,Dayak,4,5:52:00 AM,1,Tuanan,adult flanged male,adult flanged male,26-Jul-19,1.06200000000,7.0000000000,1.045,Male,4.366000000,High,0.045,23.600000000000000,0.002025000000000,,,-0.01252,,
641,1096,6388,12-Jul-14,Dayak,4,6:35:00 AM,0,Tuanan,adult flanged male,adult flanged male,20-May-15,1.27000000000,1.3000000000,1.048,Male,3.427540589,Low,0.048,26.458333330000000,0.002304000000000,,,0.15756,,
516,1141,5972,2-Jan-14,Dayak,4,6:40:00 AM,1,Tuanan,adult flanged male,adult flanged male,29-Apr-15,0.03300000000,3.4000000000,#NULL!,Male,6.146572104,High,#NULL!,#NULL!,0.000000000000000,,,#NULL!,,
25,1083,3491,18-Jun-09,Dayak,4,5:17:00 AM,1,Tuanan,adult unflanged male,adult unflanged male,#NULL!,1.52300000000,#NULL!,1.046,Male,6.160000000,High,0.046,33.108695650000000,0.002116000000000,,,0.43537,,
26,1135,#NULL!,1-Jul-09,Deri,59,6:08:00 AM,0,Tuanan,dependent immature non-clinging infant (4yrs-weaned),dependent,#NULL!,0.15900000000,#NULL!,#NULL!,Male,4.020000000,High,#NULL!,#NULL!,0.000000000000000,,,#NULL!,,
289,620,5247,1-Oct-12,Deri,59,9:52:00 AM,0,Tuanan,semi-independent immature (juveniles),semiIndind,8-Apr-15,1.12100000000,6.1000000000,1.025,Male,6.550000000,High,0.025,44.840000000000000,0.000625000000001,,,0.40698,,
VTU073,36,5383,8-Dec-12,Desy,23,7:54:00 AM,0,Tuanan,adult female with dependent,adult female,#NULL!,0.22500000000,#NULL!,1.007,Female,8.910000000,High,0.007,32.142857140000000,0.000049000000001,,,-0.00443,,
1138,154,7823,23-Apr-16,Desy,23,6:12:00 AM,0,Tuanan,adult female with dependent,adult female,17-Jun-19,0.17400000000,0.4000000000,1.012,Female,1.179593040,Low,0.012,14.500000000000000,0.000144000000000,,,-0.20526,,
VTU072,180,5383,8-Dec-12,Desy,23,5:50:00 AM,1,Tuanan,adult female with dependent,adult female,11-Oct-13,0.45186246420,0.9864520727,1.012,Female,8.910000000,High,0.012,37.655205350000000,0.000144000000000,,,0.07261,,
1139,192,7825,24-Apr-16,Desy,23,5:20:00 AM,1,Tuanan,adult female with dependent,adult female,17-Jun-19,0.17600000000,3.5000000000,1.013,Female,1.179593040,Low,0.013,13.538461540000000,0.000169000000000,,,-0.23182,,
1436,198,8940,20-May-17,Desy,23,5:38:00 AM,1,Tuanan,adult female with dependent,adult female,3-Apr-20,0.29900000000,0.5000000000,1.013,Female,2.866831073,Low,0.013,23.000000000000000,0.000169000000000,,,-0.10882,,
1433,203,8936,19-May-17,Desy,23,4:40:00 AM,1,Tuanan,adult female with dependent,adult female,3-Apr-20,0.34400000000,0.4000000000,1.013,Female,2.866831073,Low,0.013,26.461538460000000,0.000169000000000,,,-0.06382,,
600,295,6268,25-May-14,Desy,23,6:22:00 AM,1,Tuanan,adult female with dependent,adult female,20-May-15,0.23800000000,0.5000000000,1.016,Female,2.699460108,Low,0.016,14.875000000000000,0.000256000000000,,,-0.25269,,
1438,310,8943,21-May-17,Desy,23,4:37:00 AM,1,Tuanan,adult female with dependent,adult female,3-Apr-20,0.37200000000,1.9000000000,1.016,Female,2.866831073,Low,0.016,23.250000000000000,0.000256000000000,,,-0.11869,,
13,363,3431,26-May-09,Desy,23,8:59:00 AM,0,Tuanan,adult female with dependent,adult female,#NULL!,0.21600000000,#NULL!,1.018,Female,5.620000000,High,0.018,12.000000000000000,0.000324000000000,,,-0.32760,,
1211,404,8039,13-Jun-16,Desy,23,6:30:00 AM,1,Tuanan,adult female with dependent,adult female,14-Jun-19,0.54100000000,0.7000000000,1.019,Female,0.623515439,Low,0.019,28.473684210000000,0.000361000000000,,,-0.02835,,
27,415,3496,1-Jul-09,Desy,23,10:06:00 AM,0,Tuanan,adult female with dependent,adult female,#NULL!,0.82400000000,#NULL!,1.019,Female,4.020000000,High,0.019,43.368421050000000,0.000361000000000,,,0.25465,,
1201,444,8008,6-Jun-16,Desy,23,6:27:00 AM,0,Tuanan,adult female with dependent,adult female,14-Jun-19,0.50200000000,4.3000000000,1.020,Female,0.623515439,Low,0.020,25.100000000000000,0.000400000000000,,,-0.09263,,
