sample_number,follow_number,Date_Collected,Orangutan_ID,Time_Collected,First_Urine_Day,Site,Age_Class,Analysis_Date,Creatinine_Result,CV,SGmeter,Sex,Habitat_Wide,HI_Low_FAI_Quartiles,SG-1,Cr/(SG-1)
604,6273,26-May-14,Desy,5:58:00 AM,FALSE,Tuanan,adult female with dependent,20-May-15,0.45,2.2,1.025,Female,2.699460108,Low,0.025,18
593,6254,22-May-14,Desy,12:22:00 PM,FALSE,Tuanan,adult female with dependent,20-May-15,0.821,2.7,1.028,Female,2.699460108,Low,0.028,29.32142857
296,5276,14-Oct-11,Desy,5:05:00 AM,TRUE,Tuanan,adult female with dependent,08-Apr-15,0.873,3.3,1.023,Female,5.67,High,0.023,37.95652174
1139,7825,24-Apr-16,Desy,5:20:00 AM,TRUE,Tuanan,adult female with dependent,17-Jun-19,0.176,3.5,1.013,Female,1.17959304,Low,0.013,13.53846154
297,5278,15-Oct-12,Desy,5:00:00 AM,TRUE,Tuanan,adult female with dependent,08-Apr-15,1.022,4.2,1.03,Female,6.55,High,0.03,34.06666667
1201,8008,06-Jun-16,Desy,6:27:00 AM,FALSE,Tuanan,adult female with dependent,14-Jun-19,0.502,4.3,1.02,Female,0.623515439,Low,0.02,25.1
445,5683,04-Aug-13,Desy,6:15:00 AM,TRUE,Tuanan,adult female with dependent,21-Feb-14,0.821142857,4.428643724,1.032,Female,3.12,Low,0.032,25.66071428
VTU047,5273,13-Oct-12,Desy,6:45:00 AM,TRUE,Tuanan,adult female with dependent,11-Oct-13,1.074212034,4.63985778,1.029,Female,6.55,High,0.029,37.04179429
446,5686,05-Aug-13,Desy,6:35:00 AM,TRUE,Tuanan,adult female with dependent,26-Nov-19,0.614,4.8,1.025,Female,3.12,Low,0.025,24.56
436,5664,28-Jul-13,Desy,5:37:00 AM,TRUE,Tuanan,adult female with dependent,21-Feb-14,0.483142857,4.850643798,1.032,Female,3,Low,0.032,15.09821428
VTU049,5278,15-Oct-12,Desy,5:00:00 AM,TRUE,Tuanan,adult female with dependent,11-Oct-13,0.998137536,6.272312197,,Female,6.55,High,,
688,6531,10-Sep-14,Desy,11:12:00 AM,FALSE,Tuanan,adult female with dependent,15-Oct-15,0.194,10,1.002,Female,3.204353083,Low,0.002,97
13,3431,26-May-09,Desy,8:59:00 AM,FALSE,Tuanan,adult female with dependent,,0.216,,1.018,Female,5.62,High,0.018,12
VTU073,5383,08-Dec-12,Desy,7:54:00 AM,FALSE,Tuanan,adult female with dependent,,0.225,,1.007,Female,8.91,High,0.007,32.14285714
27,3496,01-Jul-09,Desy,10:06:00 AM,FALSE,Tuanan,adult female with dependent,,0.824,,1.019,Female,4.02,High,0.019,43.36842105
54,3615,18-Oct-09,Desy,12:18:00 PM,FALSE,Tuanan,adult female with dependent,,0.906,,1.023,Female,4.19,High,0.023,39.39130435
53,3615,18-Oct-09,Desy,7:48:00 AM,FALSE,Tuanan,adult female no dependent,,0.937,,1.027,Female,4.19,High,0.027,34.7037037
56,3617,19-Oct-09,Desy,5:07:00 AM,FALSE,Tuanan,adult female with dependent,,1.432,,1.038,Female,4.19,High,0.038,37.68421053
VTU040,5247,01-Oct-12,Desy,3:21:00 PM,FALSE,Tuanan,adult female with dependent,,1.464899713,,,Female,6.55,High,,
723,6579,06-Oct-14,Dolay,4:51:00 AM,TRUE,Tuanan,adult flanged male,15-Oct-15,0.296,4.5,1.018,Male,4.224502112,High,0.018,16.44444444
14,3442,05-Jun-09,Dolay,5:15:00 AM,TRUE,Tuanan,adult flanged male,,0.713,,,Male,6.16,High,,
15,3444,06-Jun-09,Dolay,6:00:00 AM,FALSE,Tuanan,adult flanged male,,1.56,,1.036,Male,6.16,High,0.036,43.33333333
1498,9115,20-Aug-17,Ekko,1:09:00 PM,FALSE,Tuanan,adult flanged male,10-Apr-20,0.787,0.3,1.026,Male,"2.646153846
3.320012296
4.160246533
3.658161697
4.149765991
3.427672956
2.893991821
3.68503937
2.64615",Low,0.026,30.26923077
1501,9119,22-Aug-17,Ekko,10:57:00 PM,TRUE,Tuanan,adult flanged male,10-Apr-20,0.466,0.5,1.02,Male,"2.646153846
3.320012296
4.160246533
3.658161697
4.149765991
3.427672956
2.893991821
3.68503937
2.64615",Low,0.02,23.3
1161,7878,11-May-16,Ekko,5:27:00 AM,TRUE,Tuanan,adult flanged male,18-Jul-19,0.294,0.7,1.023,Male,0.505801845,Low,0.023,12.7826087
498,N/A,30-Oct-13,Ekko,5:20:00 AM,TRUE,Tuanan,adult unflanged male,27-Apr-15,0.983,0.7,1.037,Male,4.17,High,0.037,26.56756757
1312,8283,22-Aug-16,Ekko,7:07:00 AM,FALSE,Tuanan,adult flanged male,13-Mar-20,1.624,0.7,1.033,Male,0.478755236,Low,0.033,49.21212121
1412,8896,04-May-17,Ekko,5:01:00 AM,TRUE,Tuanan,adult flanged male,24-Mar-20,0.325,0.8,1.011,Male,2.866831073,Low,0.011,29.54545455
1158,7874,10-May-16,Ekko,10:50:00 AM,FALSE,Tuanan,adult female no dependent,17-Jun-19,0.6,1.2,1.027,Male,0.505801845,Low,0.027,22.22222222
1313,8286,23-Aug-16,Ekko,5:05:00 AM,TRUE,Tuanan,adult flanged male,13-Mar-20,1.673,1.3,1.099,Male,0.478755236,Low,0.099,16.8989899
1379,8768,02-Mar-17,Ekko,4:59:00 AM,TRUE,Tuanan,adult flanged male,17-Mar-20,0.839,1.5,1.019,Male,1.814268143,Low,0.019,44.15789474
1155,7870,08-May-16,Ekko,4:57:00 AM,TRUE,Tuanan,adult flanged male,17-Jun-19,0.508,1.6,1.028,Male,0.505801845,Low,0.028,18.14285714
1269,8179,23-Jul-16,Ekko,8:42:00 AM,FALSE,Tuanan,adult flanged male,18-Jul-19,0.69,1.6,1.033,Male,0.269784173,Low,0.033,20.90909091
1377,8748,19-Feb-17,Ekko,12:07:00 PM,FALSE,Tuanan,adult flanged male,17-Mar-20,1.002,1.7,1.029,Male,1.620299603,Low,0.029,34.55172414
1415,8901,05-May-17,Ekko,5:08:00 AM,FALSE,Tuanan,adult flanged male,24-Mar-20,0.238,1.9,1.008,Male,2.866831073,Low,0.008,29.75
1329,8400,13-Oct-16,Ekko,5:03:00 AM,TRUE,Tuanan,adult flanged male,13-Mar-20,1.648,1.9,1.042,Male,1.579586877,Low,0.042,39.23809524
1157,7872,09-May-16,Ekko,1:23:00 PM,FALSE,Tuanan,adult flanged male,17-Jun-19,0.52,2.2,1.025,Male,0.505801845,Low,0.025,20.8
1417,8905,09-May-17,Ekko,8:53:00 AM,FALSE,Tuanan,adult flanged male,24-Mar-20,0.741,2.3,1.021,Male,2.866831073,Low,0.021,35.28571429
1466,9013,18-Jun-17,Ekko,10:41:00 AM,FALSE,Tuanan,adult flanged male,08-Apr-20,0.856,2.3,1.027,Male,2.717726992,Low,0.027,31.7037037
758,6692,12-Dec-14,Ekko,6:26:00 AM,TRUE,Tuanan,adult flanged male,01-Nov-16,0.641,3,1.03,Male,6.23,High,0.03,21.36666667
490,5811,14-Oct-13,Ekko,7:33:00 AM,FALSE,Tuanan,adult unflanged male,27-Feb-14,0.963271605,3.489088251,1.061,Male,4.17,High,0.061,15.79133779
VTU076,5392,18-Dec-12,Ekko,12:14:00 AM,FALSE,Tuanan,adult flanged male,15-Oct-13,0.13641791,3.5587431,,Male,8.91,High,,
491,5812,15-Oct-13,Ekko,7:44:00 AM,FALSE,Tuanan,adult unflanged male,27-Feb-14,0.2859,5.1506,1.005,Male,4.17,High,0.005,57.18
VTU092,N/A,12-Mar-13,Ekko,6:16:00 AM,FALSE,Tuanan,adult unflanged male,15-Oct-13,0.327910448,7.981906315,,Male,6.97,High,,
154,3826,11-Feb-10,Ekko,6:27:00 AM,TRUE,Tuanan,adult unflanged male,,0.436,,1.011,Male,1.16,Low,0.011,39.63636364
